SampleID	RawReads	TrimmedReads	TrimmedPercentage
PN2_SID167	2729331	1651833	39.48
PN2_SID168	2933798	1847287	37.03
PN2_SID169	2392102	1434648	40.03
PN2_SID170	2641566	1687317	36.12
PN2_SID171	3116646	2103853	32.50
PN2_SID172	2024398	1321946	34.70
PN2_SID173	2073842	1348583	34.97
PN2_SID174	2062013	1415953	31.33
PN2_SID175	3064683	1882915	38.56
PN2_SID176	1793665	1183887	34.00
PN2_SID177	2540440	1624552	36.05
PN2_SID178	2724974	1839076	32.51
PN2_SID179	2945824	1698208	42.35
PN2_SID180	1706251	1086391	36.33
PN2_SID181	3355269	1743649	48.03
PN2_SID182	1504956	981376	34.79
PN2_SID183	2452228	1491588	39.17
PN2_SID184	2045784	1088920	46.77
PN2_SID185	2628027	1790680	31.86
PN2_SID186	2139888	1382957	35.37
PN2_SID187	3309441	2113078	36.15
PN2_SID188	1709396	1076675	37.01
PN2_SID189	2818147	1803022	36.02
PN2_SID190	1795433	1170678	34.80
PN2_SID191	3437380	2221790	35.36
PN2_SID192	2876525	1954035	32.07
PN2_SID97	3045325	2051431	32.64
PN2_SID98	3040465	1771141	41.75
PN2_SID99	3671721	2271911	38.12
PN3_SID193	1873384	1207019	35.57
PN3_SID194	1772465	976119	44.93
PN3_SID195	1803412	1059366	41.26
PN3_SID196	1519606	905436	40.42
PN3_SID197	1855574	1024422	44.79
PN3_SID198	1613413	1011199	37.33
PN3_SID199	1583456	904788	42.86
PN3_SID200	2248213	1384137	38.43
PN3_SID201	1238497	789425	36.26
PN3_SID202	2711223	1674194	38.25
PN3_SID203	1806164	1096006	39.32
PN3_SID204	1816710	1110450	38.88
PN3_SID205	1222566	755462	38.21
PN3_SID206	1952857	1172936	39.94
PN3_SID207	1847254	1009068	45.37
PN3_SID208	1870772	1131211	39.53
PN3_SID209	1546291	960216	37.90
PN3_SID210	2911643	1724802	40.76
PN3_SID211	1917242	1082006	43.56
PN3_SID212	1686316	1052019	37.61
PN3_SID213	1570187	1001817	36.20
PN3_SID214	1459642	911363	37.56
PN3_SID215	1768718	1050903	40.58
PN3_SID216	1577937	966432	38.75
PN3_SID217	1487145	953027	35.92
PN3_SID218	1582371	981811	37.95
PN3_SID219	1283169	814188	36.55
PN3_SID220	1583705	960741	39.34
PN3_SID221	2612402	1549754	40.68
PN3_SID222	1722386	1047904	39.16
PN3_SID223	1473302	896577	39.15
PN3_SID224	2045629	1199886	41.34
PN3_SID225	1365564	850781	37.70
PN3_SID226	1522039	995707	34.58
PN3_SID227	1445122	864274	40.19
PN3_SID228	1441253	860304	40.31
PN3_SID229	2151701	1265524	41.18
PN3_SID230	2244985	1362583	39.31
PN3_SID231	1402682	842799	39.92
PN3_SID232	1722372	1050791	38.99
PN3_SID233	2809648	1756534	37.48
PN3_SID234	638589	380477	40.42
PN3_SID235	1584028	987987	37.63
