Plot,Rep,Genotype,accession,species,species_mex,origin,notes1,notes2,DTS_corr,DTA_corr,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,EN_corr,NBR_corr,SPAD_corr,LAE_corr,StPi_corr,StPu_corr,Predicted_N_corr,inv4m_introgression
1836,2,Zv.0120_P2_P2_P2.2.1.1,Zv.0120,Bals,Bals,PV23-1691,,,72.01383749,71.67037257,784.751,778.888,180.614,73.633,2.948,0.956,50.256,4.969538333,-0.0066672,0.008821435,,no
1837,2,Zd.0010_P3_P2_P4.3.1.1,Zd.0010,Zdip,Zdip,PV23-2027,,,71.79826751,72.597758,781.798,793.855,198.879,74.016,2.952,2.957,44.732,4.970467657,-0.006745177,-0.00489509,,no
1838,2,Zx.0540_P3_P3_P3.2.1.1,Zx.0540,Dura,Mex,PV23-785,,,73.27708765,73.12652029,806.155,802.96,168.534,59.251,1.958,1.961,29.351,4.971483703,-0.006823155,0.009006636,,no
1839,2,Zx.0560_P2_P3_P4.2.1.1,Zx.0560,Dura,Mex,PV23-571,,,73.28328439,73.21469435,804.16,802.94,188.978,72.624,0.992,1.934,38.167,5.972042864,-0.006901132,0.0041843,,no
1840,2,Zl.0020_P3_P3_P2.4.1.1,Zl.0020,Zlux,Zlux,PV23-1427,,,75.82896358,75.58679891,848.112,844.372,205.918,85.889,2.02,1.014,26.129,4.972498515,-0.00697911,0.004178102,,no
1841,2,Zd.0040_P1_P4_P4.2.1.1,Zd.0040,Zdip,Zdip,PV23-966,,,72.88425674,72.49540914,801.353,794.836,195.114,83.338,1.983,1.069,43.126,4.972337056,-0.007057088,1.95E-05,,no
1842,2,Zv.0080_P2_P4_P2.1.1.1,Zv.0080,Bals,Bals,PV23-1686,,,74.17241333,74.91020463,818.284,831.682,213.754,91.226,2.98,1.956,53.037,4.972205667,-0.007135065,-0.005237538,,no
1843,2,Zd.0040_P1_P4_P2.2.1.1,Zd.0040,Zdip,Zdip,PV23-959,,,73.94957789,74.56044793,816.21,826.636,194.82,89.586,2.002,1.999,29.963,4.971892684,-0.007213043,0.003894647,,no
1844,2,Purple check,Purple,Check,Check,Purple check,,,68.32905382,67.79831463,726.833,718.687,NA,NA,NA,NA,NA,NA,-0.00729102,0.003864814,,no
1845,2,Zv.0480_P3_P1_P1.1.1.1,Zv.0480,Bals,Bals,PV23-2226,,,72.84148539,74.79012173,798.196,829.754,200.14,86.505,2.021,2.001,54.21,4.970783215,-0.007368998,0.003754707,,no
1846,2,Zx.0410_P2_P2_P1.2.1.1,Zx.0410,Mesa,Mex,PV23-355,,,73.20859067,73.07994208,805.592,802.512,201.787,89.296,3.04,2.04,54.998,4.970299248,-0.007446976,0.00380263,,no
1847,2,Zx.0580_P2_P5_P2.1.1.1,Zx.0580,Nobo,Mex,PV23-1042,,,77.04203953,76.72990453,864.887,860.962,201.485,93.02,2.066,2.082,12.194,4.96990624,-0.007524953,0.003446004,,no
1848,2,Zx.0540_P3_P3_P5.2.1.1,Zx.0540,Dura,Mex,PV23-793,,,70.93955351,71.91859482,768.184,785.069,170.76,70.188,3.02,2.104,31.072,4.96974379,-0.007602931,0.003555954,,no
1849,2,Zv.0480_P2_P2_P1.2.1.1,Zv.0480,Bals,Bals,PV23-2217,,,71.61856188,71.57551278,778.112,777.465,189.918,75.749,2.054,1.112,37.892,4.969661536,-0.007680908,0.00319752,,no
1850,2,Zx.0490_P4_P4_P1.1.1.1,Zx.0490,Mesa,Mex,PV23-2313,,,74.20006743,74.06779485,818.971,817.693,196.85,74.647,3.048,3.1,44.223,4.969547649,-0.007758886,0.00303197,,no
1851,2,Zv.0080_P2_P4_P1.2.1.1,Zv.0080,Bals,Bals,PV23-1684,,,72.67379634,72.34853871,794.544,790.036,189.023,66.202,2.086,1.082,13.271,4.969314768,0.992163136,0.007565941,,no
1852,2,Zx.0410_P2_P4_P1.4.1.1,Zx.0410,Mesa,Mex,PV23-2475,,,72.2671707,72.3006815,790.689,789.663,202.31,84.594,2.072,2.084,47.409,4.969005939,-0.007914841,0.007448651,,no
1853,2,Zl.0040_P4_P1_P1.2.1.1,Zl.0040,Zlux,Zlux,PV23-1449,,,74.2676319,75.1012727,823.178,837.135,209.542,85.803,2.111,1.139,43.063,4.968455706,-0.007992819,-0.001285148,,no
1854,2,Zl.0040_P4_P4_P2.4.1.1,Zl.0040,Zlux,Zlux,PV23-1489,,,74.08737318,72.70381463,817.326,796.291,202.755,77.285,2.108,2.109,40.182,5.967739831,-0.008070796,-0.006415297,,no
1855,2,Zx.0500_P2_P3_P2.3.1.1,Zx.0500,Mesa,Mex,PV23-548,,,70.34195482,71.08817441,756.123,766.915,181.191,77.926,3.099,1.186,16.999,4.966847134,-0.008148774,0.007021092,,no
1856,2,Zx.0580_P2_P4_P2.1.1.1,Zx.0580,Nobo,Mex,PV23-1032,,,74.46351577,73.16764705,822.511,802.742,195.978,71.702,2.127,1.174,18.188,5.965612646,-0.008226752,-0.002598625,,no
1857,2,Zd.0030_P2_P1_P2.4.1.1,Zd.0030,Zdip,Zdip,PV23-857,,,73.32484342,74.13998227,805.605,819.095,200.984,81.348,2.113,2.132,41.472,5.964432209,-0.008304729,0.002393555,,no
1858,2,Zv.0310_P3_P4_P2.2.1.1,Zv.0310,Bals,Bals,PV23-2080,,,72.0821046,72.63750292,782.993,794.108,181.17,70.528,3.111,1.175,36.826,3.962986795,-0.008382707,-0.002327337,,no
1859,2,Zx.0560_P4_P1_P4.1.1.1,Zx.0560,Dura,Mex,PV23-605,,,70.33079497,69.85826899,751.717,746.663,188.534,76.133,2.109,1.177,37.87,4.96179146,-0.008460684,0.001970594,,no
1860,2,Zx.0020_P3_P1_P2.2.1.1,Zx.0020,Chal,Mex,PV23-526,,,74.16586501,72.68039281,812.794,791.309,198.297,74.384,2.135,1.183,50.028,5.960741268,-0.008538662,-0.002511916,,no
1861,2,Zh.0020_P3_P1_P1.2.1.1,Zh.0020,Hueh,Hueh,PV23-1239,,,74.78089853,74.12604628,822.178,814.667,187.481,79.661,3.165,3.248,33.496,5.982258338,-0.004958391,-0.002303297,,no
1862,2,Zx.0540_P3_P5_P4.5.1.1,Zx.0540,Dura,Mex,PV23-823,,,73.94840097,72.31873189,810.543,787.234,191.922,84.497,2.138,2.244,38.495,4.982896353,-0.004885772,0.002125439,,no
1863,2,Zl.0020_P3_P1_P3.4.1.1,Zl.0020,Zlux,Zlux,PV23-1409,,,73.69865876,73.11026836,809.073,801.736,197.759,83.974,2.141,1.243,47.409,5.983680409,-0.004813153,-0.00222548,,no
1864,2,Zx.0550_P4_P4_P5.2.1.1,Zx.0550,Dura,Mex,PV23-731,,,76.93727697,76.62250398,863.761,859.425,194.754,77.863,2.143,2.201,27.718,5.984716478,-0.004740535,0.002444067,,no
1865,2,Zv.0040_P3_P3_P1.1.1.1,Zv.0040,Bals,Bals,PV23-1337,,,76.07027488,75.65761342,848.606,843.627,210.9,89.268,2.157,2.245,23.903,4.985491144,-0.004667916,-0.002596982,,no
1866,2,Zv.0160_P4_P4_P1.1.1.1,Zv.0160,Bals,Bals,PV23-1577,,,73.94339759,73.5836259,814.468,807.822,209.231,88.526,2.13,2.258,51.289,4.986325659,-0.004595297,0.006977086,,no
1867,2,Zx.0510_P1_P4_P1.2.1.1,Zx.0510,Mesa,Mex,PV23-2341,,,71.6851433,71.20302717,777.259,771.293,203.874,81.906,2.139,2.183,39.554,4.986826322,-0.004522679,-0.006502124,,yes
1868,2,B73,B73,B73,B73,B73-PV24,,,73.86414665,73.60267244,815.85,811.707,199.7,75.441,2.142,2.215,36.121,5.987159398,-0.00445006,-0.001413247,,no
1869,2,Zx.0090_P2_P2_P1.1.1.1,Zx.0090,Chal,Mex,PV23-457,,,72.86505225,71.80318242,799.549,781.19,181.469,72.247,2.104,2.164,34.955,4.987336414,-0.004377441,0.007279925,,no
1870,2,Zv.0230_P1_P2_P2.2.1.1,Zv.0230,Bals,Bals,PV23-1720,,,72.27511459,71.85200506,787.224,781.517,212.147,80.859,2.118,1.166,46.907,4.987281221,-0.004304823,0.007356877,,no
1871,2,Zv.0370_P3_P2_P1.2.1.1,Zv.0370,Bals,Bals,PV23-1597,,,73.80572127,72.57291828,811.684,792.944,199.916,92.293,2.081,2.189,38.35,4.987158147,-0.004232204,0.002782663,,no
1872,2,Zd.0010_P3_P4_P1.1.1.1,Zd.0010,Zdip,Zdip,PV23-2048,,,74.22693289,74.08344041,819.739,817.816,199.934,83.372,2.088,1.206,34.512,5.9869226,-0.004159585,0.002908163,,no
1873,2,Zl.0020_P3_P1_P1.4.1.1,Zl.0020,Zlux,Zlux,PV23-1399,,,73.54726618,74.43091634,810.183,825.469,198.76,88.777,2.055,1.202,44.288,4.986660342,-0.004086967,0.003226915,,no
1874,2,Zv.0010_P3_P3_P1.1.1.1,Zv.0010,Bals,Bals,PV23-1563,,,74.64814057,76.24883274,824.847,852.562,202.494,97.567,3.1,1.183,57.708,4.986481487,-0.004014348,0.003077964,,no
1875,2,Zh.0030_P4_P1_P1.3.1.1,Zh.0030,Hueh,Hueh,PV23-1278,,,77.81535533,75.60812228,876.442,843.065,203.812,85.794,2.075,1.142,24.51,4.986534936,-0.003941729,0.003396616,,no
1876,2,Zx.0040_P1_P1_P1.3.1.1,Zx.0040,Chal,Mex,PV23-376,,,73.45164179,72.32864294,807.073,789.383,188.17,69.952,2.056,1.101,43.123,5.986680016,-0.003869111,0.003312034,,no
1877,2,Zx.0560_P4_P3_P5.2.1.1,Zx.0560,Dura,Mex,PV23-629,,,73.9444004,72.3457651,816.163,791.269,204.544,78.859,2.056,2.103,41.098,5.986823588,-0.003796492,0.00338705,,yes
1878,2,Zx.0580_P2_P1_P1.2.1.1,Zx.0580,Nobo,Mex,PV23-999,,,69.57079422,70.11359759,743.508,753.418,212.769,93.921,2.038,2.09,35.376,3.987110107,-0.003723873,0.003383522,,no
1879,2,Zx.0550_P4_P1_P2.2.1.1,Zx.0550,Dura,Mex,PV23-674,,,73.79890861,72.46460915,811.155,791.592,213.629,77.496,2.016,2.042,31.448,5.987080859,-0.003651255,-0.005780218,,no
1880,2,Zl.0050_P1_P1_P4.3.1.1,Zl.0050,Zlux,Zlux,PV23-1219,,,71.51429093,71.04609704,777.688,770.395,211.905,100.536,2.021,2.15,43.135,5.986867435,-0.003578636,-0.000552857,,no
1881,2,Zx.0390_P2_P2_P1.1.1.1,Zx.0390,Mesa,Mex,PV23-2452,,,74.45983421,74.12925548,824.081,819.407,211.616,87.006,2.057,2.09,39.039,5.986681298,-0.003506017,0.003578155,,no
1882,2,Zx.0580_P3_P3_P3.1.1.1,Zx.0580,Nobo,Mex,PV23-1112,,,73.91193077,73.74545381,813.322,811,222.574,103.651,2.03,2.007,30.582,4.985875262,-0.003433399,0.00355893,,no
1883,2,Zx.0580_P3_P3_P1.1.1.1,Zx.0580,Nobo,Mex,PV23-1102,,,74.90161876,74.64449713,831.38,826.928,179.017,73.184,1.996,2.032,9.078,4.984962791,-0.00336078,0.008358278,,no
1884,2,Zx.0480_P2_P2_P1.1.1.1,Zx.0480,Mesa,Mex,PV23-2459,,,73.41797093,73.10405167,807.464,801.547,203.24,75.857,1.991,2.025,26.477,5.983590238,-0.003288161,-0.005563694,,no
1885,2,Zx.0580_P3_P1_P4.1.1.1,Zx.0580,Nobo,Mex,PV23-1077,,,72.62805546,72.16631865,794.132,786.817,228.855,88.392,1.987,2.022,46.023,5.982300265,-0.003215543,0.008135904,,no
1886,2,Zx.0580_P2_P4_P1.2.1.1,Zx.0580,Nobo,Mex,PV23-1028,,,73.2126915,72.83095361,803.839,798.177,180.516,77.296,2.961,1.027,49.814,3.981039697,-0.003142924,0.003801643,,no
1887,2,Zx.0560_P2_P5_P1.1.1.1,Zx.0560,Dura,Mex,PV23-577,,,75.58893389,74.16197008,841.364,817.929,198.227,79.127,1.982,0.999,8.395,4.979678404,-0.003070305,0.004002959,,no
1888,2,Zv.0390_P2_P3_P1.2.1.1,Zv.0390,Bals,Bals,PV23-2090,,,75.77420839,74.41707939,845.707,822.634,212.051,95.942,1.974,2.973,40.992,4.978328206,-0.002997687,0.008391684,,no
1889,2,Zx.0580_P2_P3_P1.2.1.1,Zx.0580,Nobo,Mex,PV23-1013,,,71.81034611,71.62538286,780.349,776.758,179.863,56.847,1.963,1.887,51.662,4.985866743,-0.002774452,0.007728746,,no
