Plot,Rep,Genotype,accession,species,species_mex,origin,notes1,notes2,DTS_corr,DTA_corr,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,EN_corr,NBR_corr,SPAD_corr,LAE_corr,StPi_corr,StPu_corr,Predicted_N_corr,inv4m_introgression
1,1,Zx.0560_P4_P2_P1.5.1.1,Zx.0560,Dura,Mex,PV23-610,,,71.71142499,71.21980421,778.073,770.581,193.343,76.535,2.514,NA,47.871,5.098223584,0.000775989,-0.00283271,,no
2,1,Zl.0010_P1_P3_P1.5.1.1,Zl.0010,Zlux,Zlux,PV23-1393,,,72.52204226,72.77820091,790.451,794.324,183.764,54.297,1.494,NA,48.877,6.086028102,0.000676575,-0.006974251,,no
3,1,Zv.0470_P2_P2_P2.2.1.1,Zv.0470,Bals,Bals,PV23-2247,,,75.14092451,73.55066712,830.228,807.467,179.253,69.513,1.457,NA,26.182,5.073653659,0.000577162,-0.00724214,,no
4,1,Zd.0010_P3_P3_P3.2.1.1,Zd.0010,Zdip,Zdip,PV23-2044,,,76.85957842,75.08468338,857.733,829.915,157.487,64.197,2.434,NA,22.66,4.061601031,0.000477749,0.001671311,,no
5,1,Zx.0500_P2_P3_P1.2.1.1,Zx.0500,Mesa,Mex,PV23-545,,,72.58373185,75.64442378,789.659,838.496,183.836,76.251,2.378,NA,50.685,5.050179987,0.000378335,0.001551294,,no
6,1,Zh.0030_P4_P1_P1.1.1.1,Zh.0030,Hueh,Hueh,PV23-1276,,,78.04356649,77.17816838,875.453,861.015,200.324,89.457,1.341,NA,18.848,5.0391426,0.000278922,0.001419462,,no
7,1,Zd.0040_P1_P1_P2.1.1.1,Zd.0040,Zdip,Zdip,PV23-943,,,74.79863642,75.09846047,825.867,828.988,180.403,68.009,2.315,NA,35.31,5.029276322,0.000179509,0.000950831,,no
8,1,Zd.0030_P2_P4_P4.2.1.1,Zd.0030,Zdip,Zdip,PV23-908,,,77.57618424,76.61320655,868.637,853.248,176.257,57.552,2.249,NA,26.374,5.019882477,8.01E-05,-3.32E-03,,no
9,1,Zv.0260_P2_P3_P1.1.1.1,Zv.0260,Bals,Bals,PV23-1796,,,78.86685472,76.80059887,888.37,853.731,198.254,85.204,1.255,NA,17.982,5.011308856,-1.93E-05,8.14E-04,,no
10,1,Zx.0550_P4_P2_P2.3.1.1,Zx.0550,Dura,Mex,PV23-687,,,73.92015516,73.10080195,812.075,797.51,210.236,81.373,2.203,NA,46.613,5.003837503,-0.000118731,-0.003190223,,no
11,1,Zl.0020_P3_P1_P2.2.1.1,Zl.0020,Zlux,Zlux,PV23-1402,,deep green,78.65340208,79.93223355,887.388,907.569,188.165,85.037,3.186,NA,11.285,3.997319787,-0.000218144,0.001335001,,no
12,1,Zx.0540_P3_P3_P3.1.1.1,Zx.0540,Dura,Mex,PV23-784,,,72.427369,73.48708847,789.447,806.841,187.832,73.067,3.143,NA,50.117,4.991644152,-0.000317558,-0.002890885,,no
13,1,Zv.0220_P3_P1_P2.1.1.1,Zv.0220,Bals,Bals,PV23-1771,,,73.42500996,72.19652395,805.047,786.592,199.744,91.289,4.148,NA,47.007,4.98688687,-0.000431784,-0.002430594,,no
14,1,Zv.0150_P4_P5_P2.2.1.1,Zv.0150,Bals,Bals,PV23-2269,,,81.66800751,78.66004838,937.237,886.663,220.655,71.164,1.189,NA,18.711,5.992568419,-0.000337729,0.001799624,,no
15,1,B73,B73,B73,B73,B73-PV24,,,73.95158291,73.84576968,811.36,811.015,202.316,77.409,2.205,NA,42.987,5.999110726,-0.000243675,-0.002723853,,no
16,1,Zx.0580_P2_P4_P2.1.1.1,Zx.0580,Nobo,Mex,PV23-1032,,,73.91541599,72.56142189,810.07,789.301,195.974,82.162,1.257,NA,17.119,5.00662315,-0.000149621,0.001279336,,no
17,1,Zx.0390_P2_P1_P1.1.1.1,Zx.0390,Mesa,Mex,PV23-2448,,,73.64109,72.38797648,807.3,789.021,193.706,81.456,2.25,NA,12.687,5.015251467,-5.56E-05,-2.86E-03,,no
18,1,Zd.0030_P2_P3_P3.5.1.1,Zd.0030,Zdip,Zdip,PV23-893,,short,NA,NA,NA,NA,147.705,53.898,2.315,NA,NA,6.024710208,3.85E-05,1.41E-03,,no
19,1,Zx.0160_P2_P4_P1.1.1.1,Zx.0160,Chal,Mex,PV23-448,,,74.1328285,72.97234505,814.374,796.953,192.633,75.38,1.34,NA,28.04,6.034648123,0.000132542,1.001867845,,no
20,1,Zd.0020_P3_P5_P1.4.1.1,Zd.0020,Zdip,Zdip,PV23-1925,,,74.67982609,74.44370748,823.779,822.107,194.325,83.259,2.376,NA,41.871,5.045761063,0.000226597,0.001989504,,no
21,1,Zv.0160_P4_P5_P1.1.1.1,Zv.0160,Bals,Bals,PV23-1580,,,73.95830592,73.88632585,813.575,813.447,201.335,80.345,2.432,NA,41.737,5.057259538,0.000320651,0.002097541,,no
22,1,Zx.0020_P3_P5_P1.2.1.1,Zx.0020,Chal,Mex,PV23-535,,,72.23722877,72.3526312,785.006,788.688,170.625,61.848,1.454,NA,19.442,6.069389937,0.000414706,-0.006829388,,no
23,1,Zv.0410_P2_P4_P2.1.1.1,Zv.0410,Bals,Bals,PV23-1658,,,75.61014208,76.57886066,836.475,853.618,203.796,104.86,2.491,NA,28.212,5.08184153,0.00050876,-0.00657616,,no
24,1,Zx.0450_P1_P4_P1.2.1.1,Zx.0450,Mesa,Mex,PV23-2405,,,75.78515093,74.01723154,839.448,816.922,219.13,93.355,2.51,NA,23.875,6.094113475,0.000602814,-0.002450132,,no
25,1,Zd.0030_P2_P4_P2.1.1.1,Zd.0030,Zdip,Zdip,PV23-898,,,70.53271647,70.82253744,758.617,766.632,210.992,80.393,2.454,NA,59.398,6.079317093,0.000617575,-0.002085079,,no
26,1,Zx.0410_P2_P4_P1.1.1.1,Zx.0410,Mesa,Mex,PV23-360,,,72.37934008,72.39379503,788.376,790.381,188.937,89.647,3.435,NA,26.472,4.066964411,0.00052888,-0.006194861,,no
27,1,Zh.0030_P4_P3_P1.1.1.1,Zh.0030,Hueh,Hueh,PV23-1287,,,75.02057146,75.17498825,832.032,836.579,232.124,89.408,2.399,NA,22.732,6.054431394,0.000440184,-0.006432769,,no
28,1,Zx.0570_P2_P1_P2.1.1.1,Zx.0570,Nobo,Mex,PV23-1145,,,71.7475745,71.71384096,778.808,779.537,204.335,78.714,2.377,NA,45.05,5.04221895,0.000351489,0.002508233,,no
29,1,B73,B73,B73,B73,B73-PV24,hybrid,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000262794,0.002412707,,no
30,1,Zx.0090_P2_P4_P1.2.1.1,Zx.0090,Chal,Mex,PV23-465,,,72.91521181,73.80240754,796.743,812.614,230.166,95.517,2.286,NA,50.386,6.019446004,0.000174098,0.002301688,,no
31,1,Zv.0290_P2_P4_P1.2.1.1,Zv.0290,Bals,Bals,PV23-1745,,,68.65061999,68.71146422,728.24,729.491,182.27,63.001,2.262,NA,43.972,5.009432178,8.54E-05,1.85E-03,,no
32,1,B73,B73,B73,B73,B73-PV24,,,73.4028466,73.20892818,805.731,804.7,204.443,81.573,2.197,NA,36.672,5.999904269,-3.29E-06,-2.41E-03,,no
33,1,Zh.0020_P3_P2_P2.4.1.1,Zh.0020,Hueh,Hueh,PV23-1251,,,73.66452629,73.37358618,808.336,804.877,194.983,76.329,2.205,NA,37.637,4.991216981,-9.20E-05,1.73E-03,,no
34,1,Zl.0050_P1_P1_P1.4.1.1,Zl.0050,Zlux,Zlux,PV23-1207,,,73.68809839,73.64704001,809.416,810.324,203.66,75.65,3.155,NA,58.45,5.983659213,-0.000180684,-0.002270921,,no
35,1,Zv.0080_P2_P4_P1.1.1.1,Zv.0080,Bals,Bals,PV23-1683,,Purple stem,72.39263455,72.44875983,790.053,791.353,211.36,89.489,2.139,NA,49.93,4.977088042,0.999730621,0.002250864,,no
36,1,Zv.0490_P4_P1_P2.2.1.1,Zv.0490,Bals,Bals,PV23-2194,,,73.13769604,73.97093121,802.599,817.617,212.808,98.7,3.099,NA,40.091,4.971396304,-0.000358075,-0.001983726,,no
37,1,Zx.0090_P2_P2_P1.2.1.1,Zx.0090,Chal,Mex,PV23-458,,,72.47220651,72.22839195,792.868,789.67,187.069,77.569,2.03,NA,47.854,4.969063139,-0.002731036,-0.001539656,,no
38,1,Zx.0010_P4_P2_P1.3.1.1,Zx.0010,Chal,Mex,PV23-2491,,,70.73281231,70.71622862,763.559,762.775,193.384,74.294,2.069,NA,49.026,4.974772496,-0.002647699,0.002699103,,no
39,1,Zv.0410_P2_P3_P1.1.1.1,Zv.0410,Bals,Bals,PV23-1651,,,74.03452618,73.92268332,816.139,814.968,209.432,86.391,1.084,NA,36.184,5.98137996,-0.002564363,-0.001821271,,no
40,1,Zv.0340_P2_P4_P1.1.1.1,Zv.0340,Bals,Bals,PV23-1556,,,73.01837216,72.65538092,798.949,793.389,194.509,83.016,2.133,NA,41.918,5.988990502,-0.002481026,0.002179645,,no
41,1,Zx.0440_P2_P3_P1.1.1.1,Zx.0440,Mesa,Mex,PV23-842,,,72.76482403,72.49437579,796.405,793.216,208.758,90.227,2.124,NA,44.907,4.99774419,-0.00239769,-0.001966611,,no
42,1,Zx.0540_P3_P4_P5.3.1.1,Zx.0540,Dura,Mex,PV23-809,,,74.02051296,73.99750973,815.643,814.642,213.443,101.659,2.189,NA,46.768,5.007348697,-0.002314353,0.002287203,,no
43,1,Zv.0470_P2_P3_P2.1.1.1,Zv.0470,Bals,Bals,PV23-2251,,,75.29133238,74.08598264,835.933,817.134,238.3,105.22,2.212,NA,27.651,6.017445863,-0.002231017,0.002729974,,no
44,1,Zv.0240_P2_P4_P1.2.1.1,Zv.0240,Bals,Bals,PV23-2184,,,76.84684777,76.55230355,860.938,857.692,184.236,74.282,1.247,NA,26.336,6.028725887,-0.00214768,0.002829417,,no
45,1,Zv.0300_P1_P4_P1.1.1.1,Zv.0300,Bals,Bals,PV23-2110,,,74.12330023,73.98449805,817.776,815.936,199.833,77.65,2.302,NA,15.351,5.040395199,-0.002064344,0.002911353,,no
46,1,Zh.0030_P4_P3_P1.4.1.1,Zh.0030,Hueh,Hueh,PV23-1290,,,72.3850306,73.43501749,789.632,807.697,209.031,80.522,2.323,NA,42.698,6.052697118,-0.001981007,-0.006044893,,no
47,1,Zv.0040_P3_P5_P1.2.1.1,Zv.0040,Bals,Bals,PV23-1343,,,74.72306879,72.64022464,827.078,793.874,197.374,72.967,1.359,NA,40.098,5.065318988,-0.001897671,-0.005823534,,no
48,1,Zv.0270_P2_P5_P2.3.1.1,Zv.0270,Bals,Bals,PV23-2170,,,74.84775123,74.05272615,829.109,819.063,219.015,112.934,3.377,NA,32.682,4.077759835,-0.001814334,-0.001731292,,no
49,1,B73,B73,B73,B73,B73-PV24,,,71.80178842,72.11353215,779.873,786.39,201.905,77.497,1.386,NA,41.166,6.06634866,-0.002690342,-0.001420177,,no
50,1,Zd.0020_P2_P3_P1.3.1.1,Zd.0020,Zdip,Zdip,PV23-1846,,,73.71207852,75.72206874,811.516,842.224,230.918,92.369,2.369,NA,31.534,6.053809567,-0.00276832,-0.00549295,,no
51,1,Zx.0570_P2_P5_P1.1.1.1,Zx.0570,Nobo,Mex,PV23-1197,,,75.4028364,74.53551609,839.063,825.936,211.254,86.767,1.334,NA,24.284,7.041088762,-0.002846297,-0.00569589,,no
52,1,B73,B73,B73,B73,B73-PV24,,,74.16119539,73.10057243,818.776,801.414,215.802,95.754,1.313,NA,34.388,6.028687288,-0.002924275,0.003277397,,no
53,1,B73,B73,B73,B73,B73-PV24,,,73.89623292,73.68071914,813.386,810.751,217.034,107.265,3.259,NA,38.724,5.016918761,-0.003002253,0.003210711,,no
54,1,Zd.0030_P2_P4_P3.3.1.1,Zd.0030,Zdip,Zdip,PV23-904,,,74.34496703,74.22357897,821.224,819.215,202.015,81.109,2.224,NA,16.591,5.005541399,-0.00308023,0.003124286,,no
55,1,Zd.0020_P3_P2_P2.4.1.1,Zd.0020,Zdip,Zdip,PV23-1884,,,73.07330204,73.14095391,800.901,800.683,208.147,83.482,2.202,NA,39.262,5.995350812,-0.003158208,0.00269197,,no
56,1,B73,B73,B73,B73,B73-PV24,,,73.81441921,73.63997722,814.092,811.748,199.5,89.017,2.138,NA,46.058,5.985659626,-0.003236185,-0.001554186,,no
57,1,Zv.0230_P1_P2_P2.2.1.1,Zv.0230,Bals,Bals,PV23-1720,,,71.06439625,70.79957693,767.347,762.648,223.317,90.8,3.148,NA,58.53,5.976829458,-0.003314163,0.002596815,,no
58,1,Zx.0360_P2_P1_P1.2.1.1,Zx.0360,Mesa,Mex,PV23-2319,,,73.07749355,74.06270721,801.43,817.297,210.322,86.19,2.099,NA,48.362,5.969156061,-0.003392141,-0.001402223,,no
59,1,Zv.0490_P4_P5_P1.2.1.1,Zv.0490,Bals,Bals,PV23-2209,,,73.77379777,73.850077,814.329,814.328,202.358,87.119,3.086,NA,54.37,4.962502222,-0.003470118,0.003117223,,no
60,1,B73,B73,B73,B73,B73-PV24,,,73.51224002,73.35463292,810.509,808.013,204.111,82.422,2.048,NA,48.965,5.956765166,-0.003548096,-0.00112522,,no
61,1,Zx.0570_P2_P4_P2.1.1.1,Zx.0570,Nobo,Mex,PV23-1192,,,72.33600904,72.04086137,790.469,786.152,199.435,85.963,3.065,NA,37.367,4.956995376,-0.000310796,-0.000754561,,no
62,1,B73,B73,B73,B73,B73-PV24,,,73.59532893,73.54219321,810.433,808.737,209.804,77.674,1.102,NA,49.903,5.962772329,-0.000238177,0.003490814,,no
63,1,Zd.0040_P1_P4_P2.4.1.1,Zd.0040,Zdip,Zdip,PV23-961,,,74.89778385,74.75998674,829.788,827.863,206.888,73.766,2.114,NA,31.621,4.969484742,-0.000165558,-0.001028355,,no
64,1,Zx.0550_P4_P3_P4.1.1.1,Zx.0550,Dura,Mex,PV23-705,,,72.88372797,72.5003793,796.454,790.244,171.008,74.411,2.162,NA,40.712,4.977233192,-9.29E-05,2.97E-03,,no
65,1,Zv.0340_P1_P2_P1.1.1.1,Zv.0340,Bals,Bals,PV23-1542,,,74.63221487,73.34150064,826.135,806.231,199.314,82.68,3.151,NA,70.561,4.986152041,-2.03E-05,-1.19E-03,,no
66,1,Zx.0540_P3_P5_P6.4.1.1,Zx.0540,Dura,Mex,PV23-826,,,71.88796972,70.83918057,780.159,761.989,203.071,115.219,3.214,NA,41.087,4.995942105,5.23E-05,3.05E-03,,no
67,1,Zv.0050_P1_P1_P1.1.1.1,Zv.0050,Bals,Bals,PV23-1517,,,75.15259022,74.91394762,833.042,829.571,236.032,111.934,2.236,NA,29.438,5.006238311,0.000124916,0.003469041,,no
68,1,Zx.0550_P1_P4_P2.1.1.1,Zx.0550,Dura,Mex,PV23-657,,,72.68965577,71.35862862,792.658,771.975,168.13,58.183,2.27,NA,38.496,6.01772521,0.000197535,0.003540501,,no
69,1,B73,B73,B73,B73,B73-PV24,,,73.93173612,73.76172302,813.873,811.226,215.963,90.763,1.324,NA,34.489,6.02960515,0.000270154,0.003589709,,no
70,1,Zh.0020_P3_P2_P3.3.1.1,Zh.0020,Hueh,Hueh,PV23-1255,,,74.14247772,74.17632573,817.965,819.271,234.478,95.866,2.343,NA,25.817,5.042118378,0.000342772,-0.005403005,,no
71,1,Zl.0050_P1_P5_P3.1.1.1,Zl.0050,Zlux,Zlux,PV23-1233,,,72.41446236,73.3398379,788.53,804.633,203.205,91.556,3.378,NA,47.303,5.054950316,0.000415391,-0.005220933,,no
72,1,Zx.0550_P4_P2_P2.5.1.1,Zx.0550,Dura,Mex,PV23-688,,,72.46409321,72.70674749,789.366,794.946,220.242,104.77,1.395,NA,21.372,5.067599854,0.00048801,-0.001170095,,no
73,1,Zx.0150_P2_P4_P1.1.1.1,Zx.0150,Chal,Mex,PV23-500,,,79.36635493,76.85749129,900.023,858.975,215.848,96.448,2.35,NA,23.695,5.065383059,0.000454016,-0.000976961,,no
74,1,Zv.0300_P1_P2_P2.2.1.1,Zv.0300,Bals,Bals,PV23-2105,,,74.35972888,72.51839096,820.217,790.038,190.99,74.21,1.334,NA,13.002,6.052609844,0.000386756,-0.005003073,,no
75,1,Zx.0580_P3_P2_P3.2.1.1,Zx.0580,Nobo,Mex,PV23-1093,,,75.13058339,75.38208604,833.285,837.837,211.41,84.486,2.3,NA,21.695,5.03965354,0.000319497,-0.0051614,,no
76,1,B73,B73,B73,B73,B73-PV24,,,73.95893649,73.99229155,814.072,814.505,194.99,74.333,1.281,NA,36.851,6.027015326,0.000252237,0.003853652,,no
77,1,Zx.0580_P3_P1_P2.3.1.1,Zx.0580,Nobo,Mex,PV23-1069,,,72.74964784,73.61012415,793.341,808.396,210.182,81.682,2.229,NA,31.648,6.015010741,0.000184977,0.003824718,,no
78,1,Zv.0220_P3_P2_P2.1.1.1,Zv.0220,Bals,Bals,PV23-1776,,,76.23713527,74.18121552,851.084,817.342,190.023,72.342,2.195,NA,11.185,6.003401073,0.000117717,0.003770718,,no
79,1,Zd.0040_P1_P4_P6.3.1.1,Zd.0040,Zdip,Zdip,PV23-977,,,74.98937235,75.11681813,830.35,831.419,188.915,81.522,3.174,NA,15.532,3.992986015,5.05E-05,3.36E-03,,no
80,1,Zx.0340_P2_P1_P1.3.1.1,Zx.0340,Chal,Mex,PV23-2531,,,71.74527419,71.62467846,778.709,777.55,194.94,80.88,2.112,NA,40.604,5.983083842,-1.68E-05,-8.62E-04,,no
81,1,Zd.0020_P3_P4_P2.1.1.1,Zd.0020,Zdip,Zdip,PV23-1914,,,74.00512929,73.78520501,814.277,810.601,179.367,70.521,2.124,NA,47.349,4.974063081,-8.41E-05,3.30E-03,,no
82,1,Zd.0040_P1_P4_P2.3.1.1,Zd.0040,Zdip,Zdip,PV23-960,,,74.02519753,74.04396908,815.437,815.928,270.954,77.803,2.077,NA,45.146,5.966226346,-0.000151322,-0.000692204,,no
83,1,Zl.0040_P4_P3_P2.4.1.1,Zl.0040,Zlux,Zlux,PV23-1469,,,75.72748625,74.82415034,845.395,828.999,177.574,76.656,2.066,NA,33.609,4.959442128,-0.000218581,0.003827497,,no
84,1,Zx.0430_P1_P5_P1.2.1.1,Zx.0430,Mesa,Mex,PV23-2446,,,75.47303704,75.32062311,841.751,839.614,175.915,84.902,3.03,NA,27.147,3.953612044,-0.000285841,-0.000419802,,no
85,1,Zv.0210_P1_P5_P1.2.1.1,Zv.0210,Bals,Bals,PV23-1765,,,74.41030439,73.08374237,825.256,803.823,192.829,90.501,1.982,NA,32.153,4.950878973,-0.000361902,-0.000142418,,no
86,1,Zx.0470_P2_P1_P1.2.1.1,Zx.0470,Mesa,Mex,PV23-2346,,,71.65846398,71.58447111,779.845,777.32,190.896,68.315,2.017,NA,38.735,5.956775821,-0.000300001,0.004105321,,no
87,1,Zd.0010_P2_P3_P3.3.1.1,Zd.0010,Zdip,Zdip,PV23-1961,,,73.9484357,73.80162181,815.615,813.067,163.7,88.54,3.027,NA,45.283,2.963645479,-0.0002381,-0.000416109,,no
88,1,Zx.0410_P2_P4_P1.2.1.1,Zx.0410,Mesa,Mex,PV23-361,,,72.91729539,72.53942798,798.051,791.461,197.516,95.356,3.073,NA,47.388,4.971584134,-0.000176199,0.003572567,,no
89,1,Zv.0140_P3_P2_P1.1.1.1,Zv.0140,Bals,Bals,PV23-1811,,,72.64185245,74.37343415,795.036,823.415,203.443,90.829,3.061,NA,29.436,4.980720441,-0.000114298,-0.000598609,,no
90,1,Zv.0220_P3_P5_P2.1.1.1,Zv.0220,Bals,Bals,PV23-1784,,,73.86496258,73.85665056,813.677,812.153,200.691,82.591,2.122,NA,39.252,4.990748359,-5.24E-05,3.62E-03,,no
91,1,Zl.0010_P1_P1_P1.2.1.1,Zl.0010,Zlux,Zlux,PV23-1371,,,75.08553007,73.90750361,833.139,813.983,185.966,74.524,1.142,NA,47.592,6.001295903,9.50E-06,4.01E-03,,no
92,1,Zv.0160_P4_P1_P1.2.1.1,Zv.0160,Bals,Bals,PV23-1571,,,73.56392793,73.31729863,808.128,804.757,186.16,61.953,1.175,NA,36.844,6.013041974,7.14E-05,4.04E-03,,no
93,1,B73,B73,B73,B73,B73-PV24,,,73.73290221,72.67493816,812.099,794.392,197.872,82.659,2.226,NA,20.843,5.025184839,0.000133305,0.0040449,,no
94,1,Zx.0550_P4_P5_P2.2.1.1,Zx.0550,Dura,Mex,PV23-744,,,69.86055595,71.03633047,749.1,768.379,196.091,92.838,3.244,NA,52.789,4.037961673,0.000195206,-0.004995656,,no
95,1,Zv.0210_P1_P3_P1.2.1.1,Zv.0210,Bals,Bals,PV23-1755,,,76.04465279,75.14215729,846.406,832.594,192.394,87.561,2.278,NA,25.204,4.051055977,0.000257107,-0.004864104,,no
96,1,Zv.0490_P4_P2_P2.2.1.1,Zv.0490,Bals,Bals,PV23-2199,,,72.00777068,71.45087565,783.91,775.337,206.935,88.782,1.292,NA,47.31,5.063966504,0.000319007,-0.000865568,,no
97,1,Zx.0490_P4_P5_P1.1.1.1,Zx.0490,Mesa,Mex,PV23-2315,,,73.6212504,72.99093586,808.836,799.403,206.345,67.558,1.341,NA,50.003,5.055406724,0.001846562,-0.000849322,,no
98,1,Zv.0030_P1_P2_P1.2.1.1,Zv.0030,Bals,Bals,PV23-1326,,,72.7001446,74.71198209,794.084,824.032,208.154,91.37,3.327,NA,45.394,5.042344616,0.00179002,-0.004817893,,no
99,1,Zd.0030_P2_P3_P2.3.1.1,Zd.0030,Zdip,Zdip,PV23-887,,,74.56049931,74.63619244,824.061,825.284,182.164,52.662,1.295,NA,17.783,5.029098044,0.001733478,-0.004920069,,no
100,1,Zd.0020_P3_P3_P3.1.1.1,Zd.0020,Zdip,Zdip,PV23-1905,,,75.47899748,75.3034382,838.773,835.53,202.185,84.471,1.278,NA,42.845,5.01616832,0.001676937,0.004148819,,no
101,1,Zl.0020_P3_P3_P2.2.1.1,Zl.0020,Zlux,Zlux,PV23-1425,,,74.35556639,73.97133243,818.809,813.571,204.603,71.718,1.227,NA,34.459,6.003872907,0.001620395,0.004169631,,no
102,1,B73,B73,B73,B73,B73-PV24,,,72.91912992,73.58232908,795.974,806.992,189.399,76.207,2.196,NA,47.924,5.991976164,0.001563853,0.004159163,,no
103,1,Zx.0570_P2_P3_P3.1.1.1,Zx.0570,Nobo,Mex,PV23-1182,,,74.73477155,73.54718382,825.391,805.38,213.97,87.164,2.177,NA,12.604,4.981281865,0.001507311,0.00378866,,no
104,1,Zv.0220_P3_P5_P2.2.1.1,Zv.0220,Bals,Bals,PV23-1785,,,75.54061166,74.07528614,840.35,816.808,199.439,92.277,2.116,NA,12.206,4.971113933,0.001450769,-0.000411729,,no
105,1,Zx.0220_P2_P3_P1.2.1.1,Zx.0220,Chal,Mex,PV23-410,NG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001394227,0.003769044,,no
106,1,Zx.0040_P1_P4_P1.1.1.1,Zx.0040,Chal,Mex,PV23-378,,,72.88287623,72.51758891,796.008,790.524,197.859,80.75,2.085,NA,52.17,4.953792967,0.001337685,-0.000213541,,no
107,1,Zx.0540_P3_P3_P3.2.1.1,Zx.0540,Dura,Mex,PV23-785,,,73.60191217,73.30600497,809.439,803.912,176.585,58.435,1.076,NA,28.819,5.946823601,0.001281143,0.004311548,,no
108,1,B73,B73,B73,B73,B73-PV24,,,74.35936281,73.81095425,822.207,813.858,205.078,70.556,1.042,NA,21.628,5.940845719,0.001224601,6.56E-05,,no
109,1,Zv.0280_P1_P4_P1.2.1.1,Zv.0280,Bals,Bals,PV23-2124,,,74.42099467,72.75859425,824.282,797.901,194.405,85.765,2.981,NA,6.938,4.936219487,-0.000290365,0.000198909,,no
110,1,Zd.0010_P3_P4_P2.1.1.1,Zd.0010,Zdip,Zdip,PV23-2053,,,75.6614249,78.24902989,844.511,882.139,210.314,81.704,2.013,NA,11.325,4.942294463,-0.000239182,0.004440045,,no
111,1,Zx.0580_P3_P3_P3.3.1.1,Zx.0580,Nobo,Mex,PV23-1114,,,71.93484122,73.45561326,781.199,806.631,195.028,72.111,2.021,NA,36.171,5.9493796,-0.000187999,-9.15E-05,,no
112,1,B73,B73,B73,B73,B73-PV24,,,73.87423512,73.18129092,812.115,800.973,197.725,74.155,2.065,NA,23.86,5.957566694,-0.000136816,0.003882365,,no
113,1,Zv.0310_P3_P4_P2.2.1.1,Zv.0310,Bals,Bals,PV23-2080,,,73.55361392,72.99914181,808.42,800.354,177.408,90.877,3.05,NA,42.781,3.966978692,-8.56E-05,-3.10E-04,,no
114,1,Zx.0540_P3_P2_P2.3.1.1,Zx.0540,Dura,Mex,PV23-772,,,72.71385799,72.45930418,793.799,788.657,186.198,88.88,3.109,NA,49.462,3.977302698,-3.45E-05,3.87E-03,,no
115,1,Zd.0030_P2_P2_P1.1.1.1,Zd.0030,Zdip,Zdip,PV23-864,,,71.85593176,72.47856017,779.528,790.05,176.754,55.022,2.127,NA,31.264,5.988159814,1.67E-05,4.22E-03,,no
116,1,Zv.0300_P1_P2_P1.1.1.1,Zv.0300,Bals,Bals,PV23-2101,,,74.24524821,73.84752225,818.351,812.55,197.952,76.604,3.158,NA,41.182,5.00022329,6.79E-05,4.21E-03,,no
117,1,Zv.0480_P3_P3_P1.1.1.1,Zv.0480,Bals,Bals,PV23-2231,,,72.32023261,72.1561633,788.887,785.373,204.406,95.395,2.207,NA,34.752,5.012687313,0.000119098,0.004158649,,no
118,1,Zd.0030_P2_P4_P4.3.1.1,Zd.0030,Zdip,Zdip,PV23-909,,,73.35537515,73.46365455,806.683,807.856,201.166,67.597,2.223,NA,59.278,6.025785988,0.000170281,-0.004940315,,no
119,1,Zd.0020_P3_P5_P2.1.1.1,Zd.0020,Zdip,Zdip,PV23-1927,,,74.4527223,75.51374389,822.377,836.518,195.878,85.29,2.254,NA,32.979,6.03920089,0.000221464,-0.004869116,,no
120,1,Zx.0550_P1_P2_P1.1.1.1,Zx.0550,Dura,Mex,PV23-649,,,75.33441579,74.76721531,835.536,827.395,204.767,87.449,2.267,NA,14.48,5.05243064,0.000272647,-0.000931993,,no
121,1,Zv.0290_P2_P2_P1.1.1.1,Zv.0290,Bals,Bals,PV23-1736,,,72.16535636,72.6248852,787.16,793.701,199.271,77.376,3.213,NA,48.252,6.041617569,0.000214532,-0.001108799,,no
122,1,Zv.0340_P2_P2_P1.1.1.1,Zv.0340,Bals,Bals,PV23-1551,,short,77.32116096,78.39139317,866.958,883.821,188.6,72.233,2.201,NA,45.965,5.028201683,0.000168708,-0.00501421,,no
123,1,Zd.0030_P2_P4_P5.3.1.1,Zd.0030,Zdip,Zdip,PV23-914,,,73.26467659,73.36168442,804.364,805.254,185.091,70.544,2.172,NA,44.978,5.014599956,0.000122884,-0.005054298,,no
124,1,Zl.0040_P4_P3_P4.1.1.1,Zl.0040,Zlux,Zlux,PV23-1476,,,73.27575149,73.0752238,803.249,799.171,193.49,76.333,2.157,NA,35.666,5.001313836,7.71E-05,4.07E-03,,no
125,1,B73,B73,B73,B73,B73-PV24,,,73.25028314,72.78724481,801.151,794.44,199.125,67.511,1.108,NA,38.407,5.988662708,3.12E-05,4.15E-03,,no
126,1,Zv.0010_P3_P5_P1.2.1.1,Zv.0010,Bals,Bals,PV23-1568,,,71.90985793,71.43700722,779.072,771.707,199.922,70.873,2.079,NA,51.6,5.976414004,-1.46E-05,4.19E-03,,no
127,1,Zx.0390_P2_P1_P1.2.1.1,Zx.0390,Mesa,Mex,PV23-2449,,,73.8117446,73.43339357,810.133,803.341,207.255,83.651,1.062,NA,20.309,5.965375577,-6.04E-05,3.87E-03,,no
