seed_origin,old_line_id,old_accession_id,genotype,accession_id,taxa,gen,F1,BC1,BC2,S1,S2,S3,S4,blk,batch,sequencing-id,notes
MH22-490,LANTEO202BABB,LANTEO202,Zv.0180_P1_P2_P2.1.1.1.B,Zv.0180,Bals,BC2S3-blk,P1,P2,P2,1,1,1,,B,,NA,
MH22-560,LANTEO207BAAA,LANTEO207,Zv.0540_P1_P1_P1.1.1.1.B,Zv.0540,Mesa,BC2S3-blk,P1,P1,P1,1,1,1,,B,,NA,
MH22-463,LANTEO213BAAB,LANTEO213,Zv.0460_P1_P1_P2.1.1.1.B,Zv.0460,Bals,BC2S3-blk,P1,P1,P2,1,1,1,,B,,NA,
MH22-465,LANTEO223BAAA,LANTEO223,Zv.0530_P1_P1_P1.1.1.1.B,Zv.0530,Mesa,BC2S3-blk,P1,P1,P1,1,1,1,,B,,NA,
MH22-466,LANTEO223BAAB,LANTEO223,Zv.0530_P1_P1_P2.1.1.1.B,Zv.0530,Mesa,BC2S3-blk,P1,P1,P2,1,1,1,,B,,NA,
MH22-532,LANTEO228BAAA,LANTEO228,Zv.0450_P1_P1_P1.1.1.1.B,Zv.0450,Bals,BC2S3-blk,P1,P1,P1,1,1,1,,B,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
,,,,,,,,,,,,,,,,NA,
