sample_id,species,accession,elevation,taxa,teo-species,check,genotype,inv4m_genotype,tissue,date,plate_pos,plate,batch
PN3_SID219,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P4_P3.3.1.1,no,leaf,May262023,C03,3,1
PN3_SID220,Zea_mays,Zv.0160,834,Bals,Zea mays ssp. parviglumis,no,Zv.0160_P4_P2_P1.1.1.1,no,leaf,May262023,C04,3,1
PN3_SID221,Zea_mays,Zx.0470,1574,Mesa,Zea mays ssp. mexicana,no,Zx.0470_P2_P1_P2.1.1.1,no,leaf,May262023,C05,3,1
PN3_SID222,Zea_mays,Zv.0230,958,Bals,Zea mays ssp. parviglumis,no,Zv.0230_P1_P3_P2.2.1.1,no,leaf,May262023,C06,3,1
PN3_SID223,Zea_mays,Zl.0050,80,Zlux,Zea luxurians,no,Zl.0050_P1_P5_P2.3.1.1,no,leaf,May262023,C07,3,1
PN3_SID224,Zea_mays,Zv.0150,1890,Bals,Zea mays ssp. parviglumis,no,Zv.0150_P4_P5_P1.2.1.1,no,leaf,May262023,C08,3,1
PN3_SID225,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,C09,3,1
PN3_SID226,Zea_mays,Zv.0270,1654,Bals,Zea mays ssp. parviglumis,no,Zv.0270_P2_P2_P1.1.1.1,no,leaf,May262023,C10,3,1
PN3_SID227,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P1_P3_P1.1.1.1,no,leaf,May262023,C11,3,1
PN3_SID228,Zea_mays,Zl.0050,80,Zlux,Zea luxurians,no,Zl.0050_P1_P4_P2.1.1.1,no,leaf,May262023,C12,3,1
PN3_SID229,Zea_mays,Zv.0030,590,Bals,Zea mays ssp. parviglumis,no,Zv.0030_P1_P1_P1.1.1.1,no,leaf,May262023,D01,3,1
PN3_SID230,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P3_P1.3.1.1,no,leaf,May262023,D02,3,1
PN3_SID231,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,D03,3,1
PN3_SID232,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,D04,3,1
PN3_SID233,Zea_mays,Zx.0140,2200,Chal,Zea mays ssp. mexicana,no,Zx.0140_P2_P3_P1.2.1.1,yes,leaf,May262023,D05,3,1
PN3_SID234,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P5_P2.4.1.1,no,leaf,May262023,D06,3,1
PN3_SID235,Zea_mays,Zx.0100,2388,Chal,Zea mays ssp. mexicana,no,Zx.0100_P4_P3_P1.2.1.1,no,leaf,May262023,D07,3,1
PN3_SID236,Zea_mays,Zx.0570,1951,Nobo,Zea mays ssp. mexicana,no,Zx.0570_P2_P1_P1.3.1.1,no,leaf,May262023,D08,3,1
PN3_SID237,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P5_P4.1.1.1,no,leaf,May262023,D09,3,1
PN3_SID238,Zea_mays,Zv.0050,740,Bals,Zea mays ssp. parviglumis,no,Zv.0050_P1_P1_P1.1.1.1,no,leaf,May262023,D10,3,1
PN3_SID239,Zea_mays,Zv.0140,1524,Bals,Zea mays ssp. parviglumis,no,Zv.0140_P3_P1_P2.2.1.1,no,leaf,May262023,D11,3,1
PN3_SID240,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,D12,3,1
PN3_SID241,Zea_mays,Zl.0010,878,Zlux,Zea luxurians,no,Zl.0010_P1_P2_P3.2.1.1,no,leaf,May262023,E01,3,1
PN3_SID242,Zea_mays,Zv.0230,958,Bals,Zea mays ssp. parviglumis,no,Zv.0230_P1_P2_P1.2.1.1,no,leaf,May262023,E02,3,1
PN3_SID243,Zea_mays,Zv.0240,1422,Bals,Zea mays ssp. parviglumis,no,Zv.0240_P2_P3_P2.2.1.1,no,leaf,May262023,E03,3,1
PN3_SID244,Zea_mays,Zx.0400,1910,Mesa,Zea mays ssp. mexicana,no,Zx.0400_P1_P4_P1.1.1.1,no,leaf,May262023,E04,3,1
PN3_SID245,Zea_mays,Zx.0030,2480,Chal,Zea mays ssp. mexicana,no,Zx.0030_P2_P4_P1.2.1.1,no,leaf,May262023,E05,3,1
PN3_SID246,Zea_mays,Zv.0480,1442,Bals,Zea mays ssp. parviglumis,no,Zv.0480_P2_P2_P1.2.1.1,no,leaf,May262023,E06,3,1
PN3_SID247,Zea_mays,Zv.0160,834,Bals,Zea mays ssp. parviglumis,no,Zv.0160_P4_P5_P1.2.1.1,no,leaf,May262023,E07,3,1
PN3_SID248,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P3_P2.4.1.1,no,leaf,May262023,E08,3,1
PN3_SID249,Zea_mays,Zv.0260,870,Bals,Zea mays ssp. parviglumis,no,Zv.0260_P2_P5_P1.1.1.1,no,leaf,May262023,E09,3,1
PN3_SID250,Zea_mays,Zl.0040,982,Zlux,Zea luxurians,no,Zl.0040_P4_P3_P1.2.1.1,no,leaf,May262023,E10,3,1
PN3_SID251,Zea_mays,Zv.0220,654,Bals,Zea mays ssp. parviglumis,no,Zv.0220_P3_P5_P2.2.1.1,no,leaf,May262023,E11,3,1
PN3_SID252,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P3_P1.3.1.1,no,leaf,May262023,E12,3,1
PN3_SID253,Zea_mays,Zv.0390,684,Bals,Zea mays ssp. parviglumis,no,Zv.0390_P2_P2_P1.2.1.1,no,leaf,May262023,F01,3,1
PN3_SID254,Zea_mays,Zx.0160,2225,Chal,Zea mays ssp. mexicana,no,Zx.0160_P2_P3_P2.1.1.1,no,leaf,May262023,F02,3,1
PN3_SID255,Zea_mays,Zv.0040,300,Bals,Zea mays ssp. parviglumis,no,Zv.0040_P3_P4_P1.1.1.1,no,leaf,May262023,F03,3,1
PN3_SID256,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,F04,3,1
PN3_SID257,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P2_P2_P1.2.1.1,no,leaf,May262023,F05,3,1
PN3_SID258,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P2_P4.2.1.1,no,leaf,May262023,F06,3,1
PN3_SID259,Zea_mays,Zh.0030,1025,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0030_P4_P1_P1.1.1.1,no,leaf,May262023,F07,3,1
PN3_SID260,Zea_mays,Zv.0100,1183,Bals,Zea mays ssp. parviglumis,no,Zv.0100_P3_P4_P1.2.1.1,no,leaf,May262023,F08,3,1
PN3_SID261,Zea_mays,Zx.0160,2225,Chal,Zea mays ssp. mexicana,no,Zx.0160_P2_P5_P2.3.1.1,no,leaf,May262023,F09,3,1
PN3_SID262,Zea_mays,Zl.0050,80,Zlux,Zea luxurians,no,Zl.0050_P1_P5_P2.1.1.1,no,leaf,May262023,F10,3,1
PN3_SID263,Zea_mays,Zx.0390,2186,Mesa,Zea mays ssp. mexicana,no,Zx.0390_P2_P1_P1.2.1.1,no,leaf,May262023,F11,3,1
PN3_SID264,Zea_mays,Zl.0040,982,Zlux,Zea luxurians,no,Zl.0040_P4_P4_P2.3.1.1,no,leaf,May262023,F12,3,1
PN3_SID265,Zea_mays,Zv.0080,1580,Bals,Zea mays ssp. parviglumis,no,Zv.0080_P2_P3_P1.1.1.1,no,leaf,May262023,G01,3,1
PN3_SID266,Zea_mays,Zv.0260,870,Bals,Zea mays ssp. parviglumis,no,Zv.0260_P2_P2_P1.2.1.1,no,leaf,May262023,G02,3,1
PN3_SID267,Zea_mays,Zv.0310,1345,Bals,Zea mays ssp. parviglumis,no,Zv.0310_P3_P2_P1.2.1.1,no,leaf,May262023,G03,3,1
PN3_SID268,Zea_mays,Zx.0090,2311,Chal,Zea mays ssp. mexicana,no,Zx.0090_P2_P4_P1.2.1.1,no,leaf,May262023,G04,3,1
PN3_SID269,Zea_mays,Zh.0030,1025,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0030_P4_P4_P2.3.1.1,no,leaf,May262023,G05,3,1
PN3_SID270,Zea_mays,Zx.0440,1700,Mesa,Zea mays ssp. mexicana,no,Zx.0440_P2_P4_P1.2.1.1,no,leaf,May262023,G06,3,1
PN3_SID271,Zea_mays,Zx.0160,2225,Chal,Zea mays ssp. mexicana,no,Zx.0160_P2_P3_P1.2.1.1,no,leaf,May262023,G07,3,1
PN3_SID272,Zea_mays,Zx.0150,2200,Chal,Zea mays ssp. mexicana,no,Zx.0150_P2_P5_P1.1.1.1,no,leaf,May262023,G08,3,1
PN3_SID273,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P2_P5.1.1.1,no,leaf,May262023,G09,3,1
PN3_SID274,Zea_mays,Zx.0390,2186,Mesa,Zea mays ssp. mexicana,no,Zx.0390_P2_P3_P1.1.1.1,no,leaf,May262023,G10,3,1
PN3_SID275,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P3_P2.3.1.1,no,leaf,May262023,G11,3,1
PN3_SID276,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P3_P2.3.1.1,no,leaf,May262023,G12,3,1
PN3_SID277,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,H01,3,1
PN3_SID278,Zea_mays,Zv.0480,1442,Bals,Zea mays ssp. parviglumis,no,Zv.0480_P2_P1_P2.1.1.1,no,leaf,May262023,H02,3,1
PN3_SID279,Zea_mays,Zv.0210,635,Bals,Zea mays ssp. parviglumis,no,Zv.0210_P1_P1_P1.2.1.1,no,leaf,May262023,H03,3,1
PN3_SID280,Zea_mays,Zv.0490,1153,Bals,Zea mays ssp. parviglumis,no,Zv.0490_P4_P4_P1.1.1.1,no,leaf,May262023,H04,3,1
PN3_SID281,Zea_mays,Zv.0290,1219,Bals,Zea mays ssp. parviglumis,no,Zv.0290_P2_P4_P2.1.1.1,no,leaf,May262023,H05,3,1
PN3_SID282,Zea_mays,Zv.0440,635,Bals,Zea mays ssp. parviglumis,no,Zv.0440_P4_P3_P1.2.1.1,no,leaf,May262023,H06,3,1
PN3_SID283,Zea_mays,Zx.0430,1775,Mesa,Zea mays ssp. mexicana,no,Zx.0430_P1_P1_P1.3.1.1,no,leaf,May262023,H07,3,1
PN3_SID284,Zea_mays,Zx.0430,1775,Mesa,Zea mays ssp. mexicana,no,Zx.0430_P3_P2_P1.2.1.1,no,leaf,May262023,H08,3,1
PN3_SID285,Zea_mays,Zx.0350,2102,Mesa,Zea mays ssp. mexicana,no,Zx.0350_P1_P3_P2.2.1.1,yes,leaf,May262023,H09,3,1
PN3_SID286,Zea_mays,Zh.0030,1025,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0030_P4_P1_P1.3.1.1,no,leaf,May262023,H10,3,1
PN3_SID287,Zea_mays,Zv.0340,1460,Bals,Zea mays ssp. parviglumis,no,Zv.0340_P2_P3_P1.2.1.1,no,leaf,May262023,H11,3,1
PN3_SID288,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P4_P3.4.1.1,no,leaf,May262023,H12,3,1
PN4_SID289,Zea_mays,Zl.0030,1037,Zlux,Zea luxurians,no,Zl.0030_P2_P4_P1.3.1.1,no,leaf,May262023,A01,4,1
PN4_SID290,Zea_mays,Zx.0560,1875,Dura,Zea mays ssp. mexicana,no,Zx.0560_P4_P3_P3.1.1.1,no,leaf,May262023,A02,4,1
PN4_SID291,Zea_mays,Zx.0570,1951,Nobo,Zea mays ssp. mexicana,no,Zx.0570_P2_P1_P2.1.1.1,no,leaf,May262023,A03,4,1
PN4_SID292,Zea_mays,Zx.0500,1550,Mesa,Zea mays ssp. mexicana,no,Zx.0500_P2_P2_P1.2.1.1,no,leaf,May262023,A04,4,1
PN4_SID293,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P3_P2.1.1.1,no,leaf,May262023,A05,4,1
PN4_SID294,Zea_mays,Zv.0280,832,Bals,Zea mays ssp. parviglumis,no,Zv.0280_P1_P1_P1.1.1.1,no,leaf,May262023,A06,4,1
PN4_SID295,Zea_mays,Zv.0300,1178,Bals,Zea mays ssp. parviglumis,no,Zv.0300_P1_P4_P1.1.1.1,no,leaf,May262023,A07,4,1
PN4_SID296,Zea_mays,Zv.0250,1901,Bals,Zea mays ssp. parviglumis,no,Zv.0250_P2_P3_P1.1.1.1,no,leaf,May262023,A08,4,1
PN4_SID297,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P1_P4.3.1.1,no,leaf,May262023,A09,4,1
PN4_SID298,Zea_mays,Zl.0010,878,Zlux,Zea luxurians,no,Zl.0010_P1_P2_P2.4.1.1,no,leaf,May262023,A10,4,1
PN4_SID299,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P5_P6.4.1.1,no,leaf,May262023,A11,4,1
PN4_SID300,Zea_mays,Zx.0370,2012,Mesa,Zea mays ssp. mexicana,no,Zx.0370_P2_P3_P1.1.1.1,no,leaf,May262023,A12,4,1
PN4_SID301,Zea_mays,Zx.0500,1550,Mesa,Zea mays ssp. mexicana,no,Zx.0500_P2_P2_P2.2.1.1,no,leaf,May262023,B01,4,1
PN4_SID302,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,B02,4,1
PN4_SID303,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P3_P4.2.1.1,no,leaf,May262023,B03,4,1
PN4_SID304,Zea_mays,Zh.0030,1025,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0030_P4_P2_P1.3.1.1,no,leaf,May262023,B04,4,1
PN4_SID305,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P2_P3_P2.1.1.1,no,leaf,May262023,B05,4,1
PN4_SID306,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P1_P4.2.1.1,no,leaf,May262023,B06,4,1
PN4_SID307,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P3_P4.4.1.1,no,leaf,May262023,B07,4,1
PN4_SID308,Zea_mays,Zx.0350,2102,Mesa,Zea mays ssp. mexicana,no,Zx.0350_P1_P4_P2.2.1.1,no,leaf,May262023,B08,4,1
PN4_SID309,Zea_mays,Zx.0370,2012,Mesa,Zea mays ssp. mexicana,no,Zx.0370_P2_P5_P1.1.1.1,no,leaf,May262023,B09,4,1
PN4_SID310,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,B10,4,1
PN4_SID311,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P4_P4.2.1.1,no,leaf,May262023,B11,4,1
PN4_SID312,Zea_mays,Zv.0240,1422,Bals,Zea mays ssp. parviglumis,no,Zv.0240_P2_P3_P1.2.1.1,no,leaf,May262023,B12,4,1
PN4_SID313,Zea_mays,Zx.0540,1860,Dura,Zea mays ssp. mexicana,no,Zx.0540_P3_P4_P5.3.1.1,no,leaf,May262023,C01,4,1
PN4_SID314,Zea_mays,Zv.0190,1008,Bals,Zea mays ssp. parviglumis,no,Zv.0190_P3_P1_P1.2.1.1,no,leaf,May262023,C02,4,1
PN4_SID315,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,C03,4,1
PN4_SID316,Zea_mays,Zx.0560,1875,Dura,Zea mays ssp. mexicana,no,Zx.0560_P4_P4_P3.2.1.1,no,leaf,May262023,C04,4,1
PN4_SID317,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,C05,4,1
PN4_SID318,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P3_P3.3.1.1,no,leaf,May262023,C06,4,1
PN4_SID319,Zea_mays,Zd.0040,1393,Zdip,Zea diploperennis,no,Zd.0040_P1_P4_P2.3.1.1,no,leaf,May262023,C07,4,1
PN4_SID320,Zea_mays,Zx.0160,2225,Chal,Zea mays ssp. mexicana,no,Zx.0160_P2_P3_P2.2.1.1,no,leaf,May262023,C08,4,1
PN4_SID321,Zea_mays,Zx.0560,1875,Dura,Zea mays ssp. mexicana,no,Zx.0560_P4_P5_P1.1.1.1,no,leaf,May262023,C09,4,1
PN4_SID322,Zea_mays,Zv.0190,1008,Bals,Zea mays ssp. parviglumis,no,Zv.0190_P3_P1_P1.1.1.1,no,leaf,May262023,C10,4,1
PN4_SID323,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P2_P1_P2.2.1.1,no,leaf,May262023,C11,4,1
PN4_SID324,Zea_mays,Zv.0270,1654,Bals,Zea mays ssp. parviglumis,no,Zv.0270_P2_P2_P2.3.1.1,no,leaf,May262023,C12,4,1
PN4_SID325,Zea_mays,Zx.0510,1597,Mesa,Zea mays ssp. mexicana,no,Zx.0510_P1_P1_P2.2.1.1,no,leaf,May262023,D01,4,1
PN4_SID326,Zea_mays,Zx.0020,2485,Chal,Zea mays ssp. mexicana,no,Zx.0020_P3_P3_P1.2.1.1,no,leaf,May262023,D02,4,1
PN4_SID327,Zea_mays,Zv.0290,1219,Bals,Zea mays ssp. parviglumis,no,Zv.0290_P2_P2_P1.1.1.1,no,leaf,May262023,D03,4,1
PN4_SID328,Zea_mays,Zx.0090,2311,Chal,Zea mays ssp. mexicana,no,Zx.0090_P2_P5_P1.2.1.1,no,leaf,May262023,D04,4,1
PN4_SID329,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P1_P3.2.1.1,no,leaf,May262023,D05,4,1
PN4_SID330,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P2_P3_P3.1.1.1,no,leaf,May262023,D06,4,1
PN4_SID331,Zea_mays,Zv.0300,1178,Bals,Zea mays ssp. parviglumis,no,Zv.0300_P1_P1_P1.2.1.1,no,leaf,May262023,D07,4,1
PN4_SID332,Zea_mays,Zv.0300,1178,Bals,Zea mays ssp. parviglumis,no,Zv.0300_P1_P1_P1.2.1.1,no,leaf,May262023,D08,4,1
PN4_SID333,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P1_P4.2.1.1,no,leaf,May262023,D09,4,1
PN4_SID334,Zea_mays,Zx.0580,1920,Nobo,Zea mays ssp. mexicana,no,Zx.0580_P3_P1_P2.2.1.1,no,leaf,May262023,D10,4,1
PN4_SID335,Zea_mays,Zx.0030,2480,Chal,Zea mays ssp. mexicana,no,Zx.0030_P2_P3_P1.2.1.1,no,leaf,May262023,D11,4,1
PN4_SID336,Zea_mays,Zx.0570,1951,Nobo,Zea mays ssp. mexicana,no,Zx.0570_P2_P2_P1.1.1.1,no,leaf,May262023,D12,4,1
PN4_SID337,Zea_mays,Zh.0030,1025,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0030_P4_P3_P2.3.1.1,no,leaf,May262023,E01,4,1
PN4_SID338,Zea_mays,Zv.0490,1153,Bals,Zea mays ssp. parviglumis,no,Zv.0490_P4_P1_P2.2.1.1,no,leaf,May262023,E02,4,1
PN4_SID339,Zea_mays,Zl.0040,982,Zlux,Zea luxurians,no,Zl.0040_P4_P1_P2.1.1.1,no,leaf,May262023,E03,4,1
PN4_SID340,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P2_P3.3.1.1,no,leaf,May262023,E04,4,1
PN4_SID341,Zea_mays,Zx.0140,2200,Chal,Zea mays ssp. mexicana,no,Zx.0140_P2_P3_P1.1.1.1,no,leaf,May262023,E05,4,1
PN4_SID342,Zea_mays,Zl.0020,895,Zlux,Zea luxurians,no,Zl.0020_P3_P1_P2.2.1.1,no,leaf,May262023,E06,4,1
PN4_SID343,Zea_mays,Zx.0440,1700,Mesa,Zea mays ssp. mexicana,no,Zx.0440_P1_P2_P1.1.1.1,no,leaf,May262023,E07,4,1
PN4_SID344,Zea_mays,Zd.0040,1393,Zdip,Zea diploperennis,no,Zd.0040_P1_P5_P1.4.1.1,no,leaf,May262023,E08,4,1
PN4_SID345,Zea_mays,Zd.0020,1870,Zdip,Zea diploperennis,no,Zd.0020_P3_P4_P3.3.1.1,no,leaf,May262023,E09,4,1
PN4_SID346,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P1_P3.3.1.1,no,leaf,May262023,E10,4,1
PN4_SID347,Zea_mays,Zl.0020,895,Zlux,Zea luxurians,no,Zl.0020_P3_P2_P1.4.1.1,no,leaf,May262023,E11,4,1
PN4_SID348,Zea_mays,Zx.0560,1875,Dura,Zea mays ssp. mexicana,no,Zx.0560_P2_P3_P5.3.1.1,no,leaf,May262023,E12,4,1
PN4_SID349,Zea_mays,Zx.0570,1951,Nobo,Zea mays ssp. mexicana,no,Zx.0570_P2_P3_P2.4.1.1,no,leaf,May262023,F01,4,1
PN4_SID350,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P3_P1.4.1.1,no,leaf,May262023,F02,4,1
PN4_SID351,Zea_mays,Zv.0210,635,Bals,Zea mays ssp. parviglumis,no,Zv.0210_P1_P3_P1.1.1.1,no,leaf,May262023,F03,4,1
PN4_SID352,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P1_P1.1.1.1,no,leaf,May262023,F04,4,1
PN4_SID353,Zea_mays,Zv.0290,1219,Bals,Zea mays ssp. parviglumis,no,Zv.0290_P2_P2_P2.1.1.1,no,leaf,May262023,F05,4,1
PN4_SID354,Zea_mays,Zx.0040,2475,Chal,Zea mays ssp. mexicana,no,Zx.0040_P1_P4_P1.2.1.1,no,leaf,May262023,F06,4,1
PN4_SID355,Zea_mays,Purple ,NA,Purple,NA,no,Purple Check,no,leaf,May262023,F07,4,1
PN4_SID356,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,F08,4,1
PN4_SID357,Zea_mays,Zx.0090,2311,Chal,Zea mays ssp. mexicana,no,Zx.0090_P2_P2_P1.1.1.1,no,leaf,May262023,F09,4,1
PN4_SID358,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P4_P3.1.1.1,no,leaf,May262023,F10,4,1
PN4_SID359,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P2_P3.1.1.1,no,leaf,May262023,F11,4,1
PN4_SID360,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P3_P1.4.1.1,no,leaf,May262023,F12,4,1
PN4_SID361,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P5_P4.2.1.1,no,leaf,May262023,G01,4,1
PN4_SID362,Zea_mays,Zv.0120,1746,Bals,Zea mays ssp. parviglumis,no,Zv.0120_P2_P5_P2.1.1.1,no,leaf,May262023,G02,4,1
PN4_SID363,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P3_P2_P4.2.1.1,no,leaf,May262023,G03,4,1
PN4_SID364,Zea_mays,Zv.0430,552,Bals,Zea mays ssp. parviglumis,no,Zv.0430_P3_P2_P1.1.1.1,no,leaf,May262023,G04,4,1
PN4_SID365,Zea_mays,Zx.0390,2186,Mesa,Zea mays ssp. mexicana,no,Zx.0390_P2_P3_P2.2.1.1,yes,leaf,May262023,G05,4,1
PN4_SID366,Zea_mays,Zx.0370,2012,Mesa,Zea mays ssp. mexicana,no,Zx.0370_P2_P1_P1.2.1.1,no,leaf,May262023,G06,4,1
PN4_SID367,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,G07,4,1
PN4_SID368,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P4_P1.4.1.1,no,leaf,May262023,G08,4,1
PN4_SID369,Zea_mays,Zx.0550,1870,Dura,Zea mays ssp. mexicana,no,Zx.0550_P4_P2_P4.1.1.1,no,leaf,May262023,G09,4,1
PN4_SID370,Zea_mays,Zv.0420,1342,Bals,Zea mays ssp. parviglumis,no,Zv.0420_P3_P2_P1.2.1.1,no,leaf,May262023,G10,4,1
PN4_SID371,Zea_mays,Zl.0030,1037,Zlux,Zea luxurians,no,Zl.0030_P2_P2_P1.1.1.1,no,leaf,May262023,G11,4,1
PN4_SID372,Zea_mays,Zv.0120,1746,Bals,Zea mays ssp. parviglumis,no,Zv.0120_P2_P4_P1.1.1.1,no,leaf,May262023,G12,4,1
PN4_SID373,Zea_mays,Zh.0020,1225,Hueh,Zea mays ssp. huehuetenangensis,no,Zh.0020_P3_P2_P1.2.1.1,no,leaf,May262023,H01,4,1
PN4_SID374,Zea_mays,Zx.0030,2480,Chal,Zea mays ssp. mexicana,no,Zx.0030_P2_P1_P1.1.1.1,no,leaf,May262023,H02,4,1
PN4_SID375,Zea_mays,Zx.0100,2388,Chal,Zea mays ssp. mexicana,no,Zx.0100_P4_P4_P1.2.1.1,no,leaf,May262023,H03,4,1
PN4_SID376,Zea_mays,Zv.0440,635,Bals,Zea mays ssp. parviglumis,no,Zv.0440_P4_P2_P1.1.1.1,no,leaf,May262023,H04,4,1
PN4_SID377,Zea_mays,Zv.0080,1580,Bals,Zea mays ssp. parviglumis,no,Zv.0080_P2_P1_P1.1.1.1,no,leaf,May262023,H05,4,1
PN4_SID378,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P3_P4.5.1.1,no,leaf,May262023,H06,4,1
PN4_SID379,Zea_mays,Purple ,NA,Purple,NA,no,Purple Check,no,leaf,May262023,H07,4,1
PN4_SID380,Zea_mays,Zl.0050,80,Zlux,Zea luxurians,no,Zl.0050_P1_P1_P1.2.1.1,no,leaf,May262023,H08,4,1
PN4_SID381,Zea_mays,Zd.0010,2250,Zdip,Zea diploperennis,no,Zd.0010_P2_P4_P2.3.1.1,no,leaf,May262023,H09,4,1
PN4_SID382,Zea_mays,B73,NA,B73,NA,yes,B73,no,leaf,May262023,H10,4,1
PN4_SID383,Zea_mays,Zd.0030,1392,Zdip,Zea diploperennis,no,Zd.0030_P2_P5_P2.1.1.1,no,leaf,May262023,H11,4,1
PN4_SID384,Zea_mays,Zx.0520,1710,Mesa,Zea mays ssp. mexicana,no,Zx.0520_P4_P2_P3.2.1.1,no,leaf,May262023,H12,4,1
