"sample_id","lib_size"
"PN3_SID259",518521
"PN3_SID260",508532
"PN3_SID261",308467
"PN3_SID262",415464
"PN3_SID263",515816
"PN3_SID264",555056
"PN3_SID265",724826
"PN3_SID266",568961
"PN3_SID267",651003
"PN3_SID268",533549
"PN3_SID269",544201
"PN3_SID270",614836
"PN3_SID271",547585
"PN3_SID272",723866
"PN3_SID273",620633
"PN3_SID274",862004
"PN3_SID275",606526
"PN3_SID276",818043
"PN3_SID277",340310
"PN3_SID278",603145
"PN3_SID279",726466
"PN3_SID280",547252
"PN3_SID281",560803
"PN3_SID282",468303
"PN3_SID283",506062
"PN3_SID284",531685
"PN3_SID285",586115
"PN3_SID286",716721
"PN3_SID287",450066
"PN3_SID288",431112
"PN4_SID289",374961
"PN4_SID290",347825
"PN4_SID291",551140
"PN4_SID292",389557
"PN4_SID293",302481
"PN4_SID294",408763
"PN4_SID295",487778
"PN4_SID296",577910
"PN4_SID297",534244
"PN4_SID298",455263
"PN4_SID299",492203
"PN4_SID300",429727
"PN4_SID301",477695
"PN4_SID302",565428
"PN4_SID303",391367
"PN4_SID304",442423
"PN4_SID305",314982
"PN4_SID306",439434
"PN4_SID307",662234
"PN4_SID308",471321
"PN4_SID309",569100
"PN4_SID310",615018
"PN4_SID311",894820
"PN4_SID312",258635
"PN4_SID313",376387
"PN4_SID314",304644
"PN4_SID315",467003
"PN4_SID316",393013
"PN4_SID317",347808
"PN4_SID318",451705
"PN4_SID319",371335
"PN4_SID320",649771
"PN4_SID321",631879
"PN4_SID322",622161
"PN4_SID323",258064
"PN4_SID324",339124
"PN4_SID325",483632
"PN4_SID326",836500
"PN4_SID327",438059
"PN4_SID328",627565
"PN4_SID329",551471
"PN4_SID330",747374
"PN4_SID331",522631
"PN4_SID332",693462
"PN4_SID333",543887
"PN4_SID334",775279
"PN4_SID335",445030
"PN4_SID336",302549
"PN4_SID337",316158
"PN4_SID338",384874
"PN4_SID339",228339
"PN4_SID340",449415
"PN4_SID341",381530
"PN4_SID342",543696
"PN4_SID343",479714
"PN4_SID344",368441
"PN4_SID345",552832
"PN4_SID346",423580
"PN4_SID347",427883
"PN4_SID348",307427
"PN4_SID349",102476
"PN4_SID350",156291
"PN4_SID351",335699
"PN4_SID352",250796
"PN4_SID353",168180
"PN4_SID354",232541
"PN4_SID355",232059
"PN4_SID356",237525
"PN4_SID357",283093
"PN4_SID358",276344
"PN4_SID359",333403
"PN4_SID360",264672
"PN4_SID361",175880
"PN4_SID362",234742
"PN4_SID363",487401
"PN4_SID364",178346
"PN4_SID365",326029
"PN4_SID366",112201
"PN4_SID367",368384
"PN4_SID368",363743
"PN4_SID369",251975
"PN4_SID370",280156
"PN4_SID371",366542
"PN4_SID372",160836
"PN4_SID373",516551
"PN4_SID374",277119
"PN4_SID375",383922
"PN4_SID376",394985
"PN4_SID377",432851
"PN4_SID378",415269
"PN4_SID379",316089
"PN4_SID380",447151
"PN4_SID381",419682
"PN4_SID382",456248
"PN4_SID383",603056
"PN4_SID384",720720
