Plot,Rep,Genotype,Species,species_mex,origin,notes1,notes2,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,NBR_corr,SPAD1_corr,SPAD2_corr,StPu_corr,StPi_corr,BW_corr,BL_corr,SL_corr
6870,3,Zv.0230_P1_P5_P1.1.1.1,Bals,Bals,PV23-1729,,,874.3487496,828.5774237,190.9492465,68.77093202,1.144942506,66.16472336,25.51563298,-0.018459672,0.003168833,8.337389261,66.55009067,10.76480856
6871,3,Zv.0430_P3_P1_P1.2.1.1,Bals,Bals,PV23-1346,,,1004.056423,998.6731637,204.6248974,71.4051904,1.117780556,56.09346783,27.8372631,-0.014417488,0.043198623,8.606805976,60.395314,12.76368418
6872,3,Zv.0490_P4_P2_P1.1.1.1,Bals,Bals,PV23-2196,,,889.1837547,871.8202635,204.3165758,92.01121174,0.851868846,53.8656363,42.53315556,-0.019577496,0.013644104,7.357431936,48.99226021,15.37539826
6873,3,Zx.0560_P4_P2_P2.2.1.1,Dura,Mex,PV23-611,,,862.6734016,830.8547698,193.3844029,87.61812852,1.875846858,48.96014849,24.58330791,-0.014430929,0.007690225,8.486911571,53.02666769,12.26969929
6874,3,Zd.0040_P1_P5_P2.3.1.1,Zdip,Zdip,PV23-985,,,846.5288779,839.3545502,179.9553567,58.56660041,1.730890578,58.16281017,40.21255618,-0.014411804,0.024395791,8.851567425,63.2347808,13.77309268
6875,3,Zd.0030_P2_P3_P2.4.1.1,Zdip,Zdip,PV23-888,,,867.1624791,871.1457962,171.7051935,51.68843155,1.150068344,56.41120616,37.90420617,-0.014196334,0.01911981,8.565982589,59.70823152,13.78645383
6876,3,Zv.0060_P4_P2_P1.2.1.1,Bals,Bals,PV23-1531,,,878.9913959,863.7570572,153.531775,59.03413826,1.824183161,56.25522127,41.65227435,-0.015339837,0.01655229,6.831031524,47.97947857,11.78198216
6877,3,Zx.0550_P4_P4_P1.1.1.1,Dura,Mex,PV23-714,,,912.9204323,904.0472276,198.5639754,68.55976723,1.189813169,63.73311062,16.92411752,-0.01341113,0.019090991,9.341328948,69.08245404,13.48413474
6878,3,Zd.0010_P3_P1_P2.2.1.1,Zdip,Zdip,PV23-2006,,,879.8814599,874.6750411,220.4246179,85.2013505,0.953356467,60.05190663,42.8076092,-0.009190333,0.038891486,8.279843641,66.59065831,15.28975997
6879,3,Zx.0220_P2_P5_P1.2.1.1,Chal,Mex,PV23-415,,,894.0943478,875.2993217,180.1436477,66.27811685,1.973076901,49.63188365,17.35123805,-0.010119547,0.042944786,7.813508154,53.94686759,15.29473263
6880,3,Zv.0030_P1_P3_P1.1.1.1,Bals,Bals,PV23-1327,,,858.3894036,844.9145908,153.7549129,47.91934334,0.853706179,61.05161422,49.64374901,-0.004037505,0.032456475,7.125042654,56.5305848,11.399057
6881,3,Zd.0030_P2_P1_P2.4.1.1,Zdip,Zdip,PV23-857,,,868.2893591,823.2107357,163.0531241,48.58611858,0.996813969,53.44973659,1.731372889,-0.009068565,0.035334877,7.466694587,59.62743558,13.00443506
6882,3,Zx.0450_P1_P5_P2.2.1.1,Mesa,Mex,PV23-2411,,,804.2988471,814.1796926,171.8457321,56.63337776,0.899052713,58.57212878,37.96881627,-0.008046707,0.057459351,9.522532501,59.36442621,12.91530189
6883,3,B73,B73,B73,,,,917.3648996,878.5713545,178.9315102,48.49705472,1.861317049,64.9653172,42.94335729,-0.006022545,0.024932497,8.041322906,64.73309201,13.21829169
6884,3,Zv.0160_P4_P3_P1.2.1.1,Bals,Bals,PV23-1576,,,923.5057341,907.0584024,183.4605611,57.41283467,1.791566541,57.87978899,33.76581273,-0.00290575,0.029786471,8.684820426,60.42647241,14.63273521
6885,3,Zx.0580_P3_P2_P3.4.1.1,Nobo,Mex,PV23-1095,,,927.8728284,915.624508,222.2085927,83.24867299,1.022838585,51.51841204,31.61988124,-0.001014151,0.043239465,6.457330684,56.72174242,13.33808948
6886,3,Zv.0440_P4_P5_P1.1.1.1,Bals,Bals,PV23-1367,,,903.4200128,886.3600851,203.9190118,69.70143802,0.903249472,59.40614506,44.58817623,0.00022725,0.038082754,8.129205072,60.16666036,14.24765942
6887,3,Zx.0550_P4_P1_P3.1.1.1,Dura,Mex,PV23-675,,,796.0536955,811.595723,187.0214824,60.39273975,-0.099461964,57.08256298,44.71277686,-0.007875685,0.028153931,6.672650547,49.25525459,12.85982377
6888,3,Zl.0020_P3_P1_P1.2.1.1,Zlux,Zlux,PV23-1397,,,928.3436778,882.0688031,194.4698247,74.05854171,1.021146765,53.79775415,30.65297402,-0.009144053,0.033602478,8.900996119,70.00112512,13.85039886
6889,3,Zd.0030_P2_P5_P2.3.1.1,Zdip,Zdip,PV23-924,,,891.0255654,877.0535717,183.8052972,58.28851058,0.790841204,63.56290178,39.10726857,-0.011062627,0.020456077,8.528713222,66.00031338,13.745145
6890,3,Zd.0010_P2_P3_P2.4.1.1,Zdip,Zdip,PV23-1957,,,884.7750301,863.6194776,193.2847906,69.37111001,1.861501812,59.75287657,38.99305244,0.985793599,1.015917555,7.885448631,52.70558391,15.33075533
6891,3,Zx.0100_P4_P5_P1.1.1.1,Chal,Mex,PV23-390,,,879.8041191,859.8581309,184.1514035,56.44663738,1.900081936,43.86475797,19.9266382,0.983742454,1.048756291,7.266928552,49.93972159,14.22776396
6892,3,Zv.0070_P4_P1_P1.1.1.1,Bals,Bals,PV23-1608,,,823.0409755,808.6761272,175.2757179,73.29312226,0.998597331,58.44796707,20.49723059,-0.017306389,0.026931355,6.811427031,53.20912497,15.71683172
6893,3,Zh.0030_P4_P2_P1.2.1.1,Hueh,Hueh,PV23-1285,,,941.3362547,892.0852461,174.8800564,61.49597463,0.856095038,66.85577299,35.11759493,-0.012302326,0.024340983,8.570188696,58.92057178,14.51131839
6894,3,Zv.0010_P3_P1_P1.1.1.1,Bals,Bals,PV23-1561,,,929.539462,926.2760398,191.1737218,76.72109039,1.975871017,57.64202613,49.5330641,-0.018411385,0.035106635,8.359140265,62.04517137,12.80678606
6895,3,Zd.0020_P3_P5_P1.4.1.1,Zdip,Zdip,PV23-1925,,,930.4684521,890.9492381,203.3646021,79.52318589,0.956340489,55.56765066,44.69742403,-0.017509218,0.031316492,8.125981887,49.79529854,14.90153909
6896,3,Zl.0020_P3_P4_P3.2.1.1,Zlux,Zlux,PV23-1436,,,895.6614417,856.4495219,164.4195484,55.78688161,1.192766716,61.95370376,26.52195106,-0.021757098,0.011760834,7.687936518,65.18985084,12.1955839
